/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    E_damp_J        | 0.146    |
|    E_fric_J        | 0.0259   |
|    E_norm_J        | 0.012    |
|    W_neg_J         | 0.15     |
|    W_pos_J         | 0.312    |
| reward/            |          |
|    r_energy        | -0.281   |
| rollout/           |          |
|    ep_len_mean     | 82       |
|    ep_rew_mean     | -182     |
| time/              |          |
|    fps             | 47       |
|    iterations      | 1        |
|    time_elapsed    | 86       |
|    total_timesteps | 4096     |
---------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.119       |
|    E_fric_J             | 0.0231      |
|    E_norm_J             | 0.0106      |
|    W_neg_J              | 0.133       |
|    W_pos_J              | 0.273       |
| reward/                 |             |
|    r_energy             | -0.244      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -178        |
| time/                   |             |
|    fps                  | 46          |
|    iterations           | 2           |
|    time_elapsed         | 175         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.009311581 |
|    clip_fraction        | 0.0964      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.00331    |
|    learning_rate        | 0.0003      |
|    loss                 | 223         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0158     |
|    std                  | 0.998       |
|    value_loss           | 641         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.127       |
|    E_fric_J             | 0.0232      |
|    E_norm_J             | 0.0112      |
|    W_neg_J              | 0.129       |
|    W_pos_J              | 0.292       |
| reward/                 |             |
|    r_energy             | -0.251      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -178        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 3           |
|    time_elapsed         | 259         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.009151628 |
|    clip_fraction        | 0.0943      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.00092    |
|    learning_rate        | 0.0003      |
|    loss                 | 249         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0153     |
|    std                  | 1           |
|    value_loss           | 659         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.13        |
|    E_fric_J             | 0.0257      |
|    E_norm_J             | 0.0114      |
|    W_neg_J              | 0.153       |
|    W_pos_J              | 0.281       |
| reward/                 |             |
|    r_energy             | -0.265      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -175        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 4           |
|    time_elapsed         | 343         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009870723 |
|    clip_fraction        | 0.0977      |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -0.000271   |
|    learning_rate        | 0.0003      |
|    loss                 | 267         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0173     |
|    std                  | 0.994       |
|    value_loss           | 664         |
-----------------------------------------
------------------------------------------
| energy/                 |              |
|    E_damp_J             | 0.131        |
|    E_fric_J             | 0.0235       |
|    E_norm_J             | 0.0113       |
|    W_neg_J              | 0.135        |
|    W_pos_J              | 0.281        |
| reward/                 |              |
|    r_energy             | -0.254       |
| rollout/                |              |
|    ep_len_mean          | 82           |
|    ep_rew_mean          | -169         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 5            |
|    time_elapsed         | 429          |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0113230115 |
|    clip_fraction        | 0.124        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.1        |
|    explained_variance   | -4.65e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 218          |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0189      |
|    std                  | 0.996        |
|    value_loss           | 531          |
------------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.124       |
|    E_fric_J             | 0.0248      |
|    E_norm_J             | 0.0113      |
|    W_neg_J              | 0.135       |
|    W_pos_J              | 0.296       |
| reward/                 |             |
|    r_energy             | -0.256      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -170        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 6           |
|    time_elapsed         | 513         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.011262183 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | -4.94e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 188         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0191     |
|    std                  | 0.996       |
|    value_loss           | 500         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.126       |
|    E_fric_J             | 0.0251      |
|    E_norm_J             | 0.0121      |
|    W_neg_J              | 0.15        |
|    W_pos_J              | 0.283       |
| reward/                 |             |
|    r_energy             | -0.262      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -166        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 7           |
|    time_elapsed         | 597         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.011067235 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.2       |
|    explained_variance   | -7.49e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 148         |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0176     |
|    std                  | 0.999       |
|    value_loss           | 457         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.109       |
|    E_fric_J             | 0.0227      |
|    E_norm_J             | 0.0111      |
|    W_neg_J              | 0.117       |
|    W_pos_J              | 0.268       |
| reward/                 |             |
|    r_energy             | -0.227      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -161        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 8           |
|    time_elapsed         | 681         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.012597492 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | -4.01e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 142         |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0231     |
|    std                  | 0.994       |
|    value_loss           | 388         |
-----------------------------------------
------------------------------------------
| energy/                 |              |
|    E_damp_J             | 0.11         |
|    E_fric_J             | 0.0215       |
|    E_norm_J             | 0.00939      |
|    W_neg_J              | 0.12         |
|    W_pos_J              | 0.261        |
| reward/                 |              |
|    r_energy             | -0.225       |
| rollout/                |              |
|    ep_len_mean          | 82           |
|    ep_rew_mean          | -156         |
| time/                   |              |
|    fps                  | 48           |
|    iterations           | 9            |
|    time_elapsed         | 766          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0123438435 |
|    clip_fraction        | 0.132        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
